"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","35 to 39","Tennessee","94","447,234","21.02","--","2,605"
"2021","35 to 39","Texas","389","2,127,415","18.29","--","10,918"
"2021","35 to 39","Utah","64","232,167","27.57","--","1,797"
"2021","35 to 39","Vermont","10**","39,612","25.25**","--","277"
"2021","35 to 39","Virginia","111","595,880","18.63","--","3,113"
"2021","35 to 39","Washington","97","577,356","16.80","--","2,705"
"2021","35 to 39","West Virginia","37","103,469","35.76","--","1,015"
"2021","35 to 39","Wisconsin","82","380,164","21.57","--","2,298"
"2021","35 to 39","Wyoming","19**","39,816","47.72**","--","537"
"2021","40 to 44","Alabama","55","308,820","17.81","--","1,279"
"2021","40 to 44","Alaska","21","46,477","45.18","--","485"
"2021","40 to 44","Arizona","104","445,301","23.36","--","2,399"
"2021","40 to 44","Arkansas","67","187,417","35.75","--","1,555"
"2021","40 to 44","California","331","2,590,379","12.78","--","7,607"
"2021","40 to 44","Colorado","103","397,228","25.93","--","2,365"
"2021","40 to 44","Connecticut","22","220,436","9.98","--","509"
"2021","40 to 44","Delaware","10**","58,511","17.09**","--","227"
"2021","40 to 44","District of Columbia","0**","47,361","0.00**","--","--"
"2021","40 to 44","Florida","226","1,332,743","16.96","--","5,217"
"2021","40 to 44","Georgia","146","706,170","20.68","--","3,373"
"2021","40 to 44","Hawaii","17**","91,757","18.53**","--","395"
"2021","40 to 44","Idaho","27","123,050","21.94","--","625"
"2021","40 to 44","Illinois","102","824,169","12.38","--","2,350"
"2021","40 to 44","Indiana","82","425,241","19.28","--","1,880"
"2021","40 to 44","Iowa","56","198,600","28.20","--","1,296"
"2021","40 to 44","Kansas","48","182,475","26.31","--","1,126"
"2021","40 to 44","Kentucky","72","283,166","25.43","--","1,670"
"2021","40 to 44","Louisiana","65","293,442","22.15","--","1,504"
"2021","40 to 44","Maine","26","80,749","32.20","--","587"
"2021","40 to 44","Maryland","55","401,407","13.70","--","1,264"
"2021","40 to 44","Massachusetts","44","427,937","10.28","--","1,009"
"2021","40 to 44","Michigan","120","596,977","20.10","--","2,765"
"2021","40 to 44","Minnesota","63","368,878","17.08","--","1,464"
"2021","40 to 44","Mississippi","37","183,915","20.12","--","860"
"2021","40 to 44","Missouri","81","381,538","21.23","--","1,873"
"2021","40 to 44","Montana","36","68,402","52.63","--","848"
"2021","40 to 44","Nebraska","26","123,415","21.07","--","598"
"2021","40 to 44","Nevada","53","207,544","25.54","--","1,238"
"2021","40 to 44","New Hampshire","16**","80,746","19.82**","--","363"
"2021","40 to 44","New Jersey","53","601,547","8.81","--","1,214"
"2021","40 to 44","New Mexico","35","128,172","27.31","--","798"
"2021","40 to 44","New York","111","1,225,871","9.06","--","2,568"
"2021","40 to 44","North Carolina","100","660,493","15.14","--","2,292"
"2021","40 to 44","North Dakota","17**","46,159","36.83**","--","395"
"2021","40 to 44","Ohio","128","714,320","17.92","--","2,959"
"2021","40 to 44","Oklahoma","85","250,098","33.99","--","1,980"
"2021","40 to 44","Oregon","73","288,821","25.28","--","1,690"
"2021","40 to 44","Pennsylvania","131","775,379","16.90","--","2,997"
"2021","40 to 44","Rhode Island","11**","65,036","16.91**","--","252"
"2021","40 to 44","South Carolina","74","315,228","23.48","--","1,720"
"2021","40 to 44","South Dakota","14**","53,690","26.08**","--","318"
"2021","40 to 44","Tennessee","94","435,912","21.56","--","2,163"
"2021","40 to 44","Texas","333","1,992,801","16.71","--","7,700"
"2021","40 to 44","Utah","65","233,541","27.83","--","1,490"
"2021","40 to 44","Vermont","--","37,970","--","--","--"
"2021","40 to 44","Virginia","76","563,880","13.48","--","1,760"
"2021","40 to 44","Washington","100","517,948","19.31","--","2,308"
"2021","40 to 44","West Virginia","36","110,585","32.55","--","820"
"2021","40 to 44","Wisconsin","65","365,718","17.77","--","1,511"
"2021","40 to 44","Wyoming","20**","37,116","53.89**","--","452"
"2021","45 to 49","Alabama","66","301,395","21.90","--","1,189"
"2021","45 to 49","Alaska","--","40,625","--","--","--"
"2021","45 to 49","Arizona","91","418,520","21.74","--","1,643"
"2021","45 to 49","Arkansas","47","176,327","26.66","--","848"
"2021","45 to 49","California","289","2,430,013","11.89","--","5,178"
"2021","45 to 49","Colorado","97","355,419","27.29","--","1,744"
"2021","45 to 49","Connecticut","23","212,438","10.83","--","402"
"2021","45 to 49","Delaware","13**","54,225","23.97**","--","240"
"2021","45 to 49","District of Columbia","0**","36,273","0.00**","--","--"
"2021","45 to 49","Florida","246","1,305,273","18.85","--","4,466"
"2021","45 to 49","Georgia","136","685,774","19.83","--","2,453"
