"Age","Year","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"9","2003","Males","--","2,071,391","--","--","--"
"9","2003","Females","0**","1,972,870","0.00**","--","--"
"9","2002","Males","0**","2,111,604","0.00**","--","--"
"9","2002","Females","0**","2,007,243","0.00**","--","--"
"9","2001","Males","0**","2,138,278","0.00**","--","--"
"9","2001","Females","0**","2,040,954","0.00**","--","--"
"10","2021","Males","--","2,104,997","--","--","--"
"10","2021","Females","--","1,998,492","--","--","--"
"10","2020","Males","--","2,144,188","--","--","--"
"10","2020","Females","--","2,041,889","--","--","--"
"10","2019","Males","--","2,074,439","--","--","--"
"10","2019","Females","0**","1,991,833","0.00**","--","--"
"10","2018","Males","--","2,136,727","--","--","--"
"10","2018","Females","0**","2,049,679","0.00**","--","--"
"10","2017","Males","--","2,142,742","--","--","--"
"10","2017","Females","--","2,051,472","--","--","--"
"10","2016","Males","--","2,118,906","--","--","--"
"10","2016","Females","0**","2,028,238","0.00**","--","--"
"10","2015","Males","--","2,103,824","--","--","--"
"10","2015","Females","0**","2,017,209","0.00**","--","--"
"10","2014","Males","--","2,099,920","--","--","--"
"10","2014","Females","0**","2,016,411","0.00**","--","--"
"10","2013","Males","--","2,077,929","--","--","--"
"10","2013","Females","0**","1,996,357","0.00**","--","--"
"10","2012","Males","--","2,064,182","--","--","--"
"10","2012","Females","0**","1,982,199","0.00**","--","--"
"10","2011","Males","--","2,111,828","--","--","--"
"10","2011","Females","0**","2,023,940","0.00**","--","--"
"10","2010","Males","--","2,136,007","--","--","--"
"10","2010","Females","0**","2,036,552","0.00**","--","--"
"10","2009","Males","0**","2,113,518","0.00**","--","--"
"10","2009","Females","0**","2,019,572","0.00**","--","--"
"10","2008","Males","0**","2,094,209","0.00**","--","--"
"10","2008","Females","0**","1,999,440","0.00**","--","--"
"10","2007","Males","0**","2,082,769","0.00**","--","--"
"10","2007","Females","0**","1,992,949","0.00**","--","--"
"10","2006","Males","--","2,108,675","--","--","--"
"10","2006","Females","0**","2,012,420","0.00**","--","--"
"10","2005","Males","--","2,125,588","--","--","--"
"10","2005","Females","0**","2,024,513","0.00**","--","--"
"10","2004","Males","0**","2,125,846","0.00**","--","--"
"10","2004","Females","0**","2,026,105","0.00**","--","--"
"10","2003","Males","0**","2,155,365","0.00**","--","--"
"10","2003","Females","0**","2,049,649","0.00**","--","--"
"10","2002","Males","--","2,171,164","--","--","--"
"10","2002","Females","0**","2,072,654","0.00**","--","--"
"10","2001","Males","0**","2,190,226","0.00**","--","--"
"10","2001","Females","0**","2,087,015","0.00**","--","--"
"11","2021","Males","16**","2,145,796","0.75**","--","864"
"11","2021","Females","--","2,043,610","--","--","--"
"11","2020","Males","13**","2,189,301","0.59**","--","702"
"11","2020","Females","--","2,086,696","--","--","--"
"11","2019","Males","--","2,140,657","--","--","--"
"11","2019","Females","--","2,053,678","--","--","--"
"11","2018","Males","--","2,148,146","--","--","--"
"11","2018","Females","--","2,056,959","--","--","--"
"11","2017","Males","--","2,125,259","--","--","--"
"11","2017","Females","--","2,034,569","--","--","--"
"11","2016","Males","--","2,110,600","--","--","--"
"11","2016","Females","--","2,023,812","--","--","--"
"11","2015","Males","--","2,106,264","--","--","--"
"11","2015","Females","0**","2,022,633","0.00**","--","--"
"11","2014","Males","--","2,083,718","--","--","--"
"11","2014","Females","--","2,002,428","--","--","--"
"11","2013","Males","0**","2,069,297","0.00**","--","--"
"11","2013","Females","0**","1,987,825","0.00**","--","--"
"11","2012","Males","--","2,116,820","--","--","--"
"11","2012","Females","--","2,029,755","--","--","--"
"11","2011","Males","--","2,147,013","--","--","--"
"11","2011","Females","0**","2,050,585","0.00**","--","--"
"11","2010","Males","--","2,103,284","--","--","--"
"11","2010","Females","0**","2,011,159","0.00**","--","--"
"11","2009","Males","0**","2,080,465","0.00**","--","--"
"11","2009","Females","0**","1,986,140","0.00**","--","--"
"11","2008","Males","--","2,072,503","--","--","--"
"11","2008","Females","0**","1,982,889","0.00**","--","--"
"11","2007","Males","--","2,101,325","--","--","--"
"11","2007","Females","0**","2,005,154","0.00**","--","--"
"11","2006","Males","--","2,121,508","--","--","--"
"11","2006","Females","0**","2,020,438","0.00**","--","--"
"11","2005","Males","--","2,124,509","--","--","--"
"11","2005","Females","--","2,024,722","--","--","--"
"11","2004","Males","--","2,156,839","--","--","--"
"11","2004","Females","0**","2,050,854","0.00**","--","--"
